iter	MAE
0	1084.284633
1	1039.0552
2	994.7060429
3	952.7376347
4	915.0604718
5	878.079029
6	843.5019167
7	809.9774241
8	777.6034715
9	748.741064
10	720.6777325
11	698.7811761
12	672.19394
13	648.2112102
14	623.705418
15	603.6793266
16	582.352652
17	564.8091771
18	549.5634261
19	532.2556676
20	515.6614457
21	500.9008629
22	485.665922
23	472.4650674
24	459.2318419
25	447.5892627
26	437.4559799
27	426.4240011
28	415.0297899
29	405.0943069
30	394.5846922
31	386.5036628
32	377.9136476
33	370.8688359
34	362.9953426
35	354.3434674
36	347.7535473
37	340.8481265
38	335.1188964
39	330.2838581
40	323.8299665
41	318.4762663
42	314.1276772
43	310.5400984
44	305.9309165
45	301.3523579
46	297.1392079
47	293.6498326
48	287.9592763
49	283.3806405
50	278.9299691
51	274.2873452
52	269.6972892
53	266.3788061
54	262.9771854
55	259.1493209
56	255.5748841
57	253.2013937
58	250.2434633
59	247.5488029
60	244.8614193
61	241.826138
62	239.7239254
63	237.4722484
64	235.6502743
65	233.7547909
66	231.5187799
67	228.7838473
68	226.72151
69	224.8723178
70	222.9084292
71	221.2500238
72	219.1243416
73	217.66244
74	215.9692816
75	214.1737407
76	212.5359801
77	211.5971785
78	210.4353428
79	209.4500919
80	208.1810284
81	207.1298291
82	206.1344377
83	204.8799038
84	204.0356874
85	203.005667
86	201.6857215
87	200.9863061
88	200.0620564
89	199.1974231
90	198.6021559
91	197.5829654
92	196.6620562
93	195.9956495
94	194.9068274
95	194.1590852
96	193.4391741
97	192.8748601
98	192.2662276
99	191.404388
100	190.8258277
101	190.2265723
102	189.4100827
103	188.2690709
104	187.6929391
105	186.9659372
106	186.3438597
107	185.6577788
108	185.1346303
109	184.5948622
110	183.8445065
111	183.3507102
112	182.8407003
113	182.040934
114	181.5049556
115	180.8552405
116	180.1581369
117	179.4500054
118	179.153631
119	178.6877361
120	178.2464707
121	177.6926255
122	177.3860702
123	176.7176938
124	175.8447153
125	175.5271436
126	175.1027877
127	174.6659945
128	174.280909
129	174.068319
130	173.570734
131	172.7795073
132	172.4051203
133	172.1265622
134	171.8938619
135	171.4643638
136	170.5694397
137	170.1179272
138	169.3411393
139	168.9484383
140	168.7344584
141	168.4050238
142	167.9964123
143	167.5126428
144	167.1695384
145	166.2325142
146	165.301696
147	165.0449836
148	164.4769389
149	164.2085883
150	163.8457648
151	163.4478452
152	162.9699089
153	162.7722433
154	162.0543445
155	161.4396133
156	161.0150345
157	160.4464863
158	159.9933005
159	159.40165
160	158.8715445
161	158.5458265
162	158.0042179
163	157.3319802
164	157.0171584
165	156.3755148
166	156.1010915
167	155.7865738
168	155.5178159
169	155.1450747
170	154.7134709
171	154.3773649
172	153.8467378
173	153.3620917
174	153.0568122
175	152.5000647
176	151.9787398
177	151.5620357
178	151.3060127
179	150.7805781
180	150.4480006
181	150.1383245
182	149.9027931
183	149.6645921
184	149.4923853
185	149.0542854
186	148.8418339
187	148.3519449
188	148.0965979
189	147.6122767
190	147.0826023
191	146.9924039
192	146.4765058
193	146.261788
194	146.070833
195	145.7353691
196	145.5092045
197	145.0513536
198	144.8336265
199	144.391385
200	144.1651999
201	143.8223918
202	143.5402981
203	143.3456335
204	142.8468851
205	142.4014704
206	141.9888412
207	141.599607
208	141.3699838
209	141.0707572
210	140.7262717
211	140.442005
212	140.0453884
213	139.759022
214	139.4104143
215	139.2226918
216	139.0843496
217	138.8215977
218	138.5103239
219	138.354738
220	137.8435614
221	137.7242582
222	137.4088759
223	137.2081787
224	137.0966145
225	136.6201385
226	136.4057841
227	136.0803514
228	135.9439955
229	135.7321257
230	135.362427
231	134.7889374
232	134.6022802
233	134.4431757
234	134.0394825
235	133.7907493
236	133.5875422
237	133.007651
238	132.7350876
239	132.5548186
240	132.2635895
241	131.9987859
242	131.8167603
243	131.7261346
244	131.5440254
245	131.2369236
246	130.9694111
247	130.685406
248	130.5692974
249	130.1340909
250	129.9670508
251	129.7187421
252	129.225162
253	128.9420523
254	128.8097357
255	128.5752967
256	128.3430461
257	128.2101061
258	128.0774565
259	127.8021685
260	127.6757453
261	127.492709
262	127.2811486
263	127.1113864
264	126.856605
265	126.6767252
266	126.4994294
267	126.2303561
268	126.088586
269	125.9686376
270	125.7648688
271	125.6529672
272	125.5029178
273	125.3167535
274	125.1799881
275	125.0171378
276	124.8807514
277	124.7468002
278	124.5046286
279	124.3304683
280	124.1767569
281	124.0307802
282	123.8937948
283	123.7014851
284	123.4868568
285	123.2560388
286	122.9963108
287	122.905726
288	122.8512109
289	122.6935155
290	122.5011256
291	122.249815
292	122.0363997
293	121.862268
294	121.706516
295	121.504329
296	121.3593516
297	121.1598496
298	121.0165649
299	120.7937137
300	120.5681412
301	120.4567568
302	120.2703677
303	120.120725
304	120.0470725
305	119.8385785
306	119.7561311
307	119.3701732
308	119.2615494
309	119.1187898
310	118.9517553
311	118.8804861
312	118.7142648
313	118.585808
314	118.4438984
315	118.2389335
316	118.1349359
317	118.0635237
318	117.9654008
319	117.8071746
320	117.5368
321	117.439323
322	117.3257219
323	117.164149
324	116.9528068
325	116.7648968
326	116.5644262
327	116.4927588
328	116.3338864
329	116.2297424
330	116.0347287
331	115.902125
332	115.6204578
333	115.4413234
334	115.1746691
335	115.0769627
336	114.9269593
337	114.8231102
338	114.5977037
339	114.4597865
340	114.3123445
341	114.1435731
342	114.0797896
343	113.9916839
344	113.8953256
345	113.7865601
346	113.6070641
347	113.4847034
348	113.3348226
349	113.2852263
350	113.183865
351	113.0292442
352	112.936787
353	112.8110979
354	112.7154795
355	112.6289827
356	112.5336174
357	112.3891224
358	112.2415604
359	112.1237429
360	111.9964159
361	111.8762569
362	111.8163861
363	111.7514795
364	111.6330004
365	111.463296
366	111.3911861
367	111.3360477
368	111.2093493
369	111.1145463
370	111.0401453
371	110.8165082
372	110.6542297
373	110.4645232
374	110.3719555
375	110.2425042
376	110.1744749
377	110.1111491
378	110.044003
379	109.9142732
380	109.8444759
381	109.7454821
382	109.5574854
383	109.4262906
384	109.2707799
385	109.1398354
386	109.0907711
387	108.9288499
388	108.8405629
389	108.763645
390	108.6371462
391	108.4830591
392	108.2578556
393	108.1483486
394	107.9477795
395	107.7953994
396	107.7179305
397	107.6276744
398	107.5789098
399	107.4091872
400	107.2873392
401	107.1968867
402	107.0992333
403	107.0108304
404	106.8996134
405	106.8142829
406	106.7294056
407	106.6613187
408	106.5348929
409	106.423548
410	106.3684125
411	106.2824169
412	106.1728342
413	105.9208211
414	105.8252691
415	105.7018999
416	105.5451548
417	105.46558
418	105.3065402
419	105.0905303
420	105.0173027
421	104.8535973
422	104.7134634
423	104.6109078
424	104.5326394
425	104.3908313
426	104.349168
427	104.2689181
428	104.1983938
429	104.1134506
430	104.0288291
431	103.969104
432	103.8779005
433	103.6672558
434	103.4790327
435	103.2468616
436	103.1631344
437	102.9844148
438	102.8909122
439	102.6347
440	102.5723516
441	102.3804562
442	102.2275701
443	102.1870093
444	102.1346965
445	102.0717479
446	102.0135417
447	101.9473762
448	101.8610815
449	101.7975846
450	101.729464
451	101.6084877
452	101.4905891
453	101.330824
454	101.2517162
455	101.1290625
456	101.0592811
457	100.9715141
458	100.8994463
459	100.6448708
460	100.4772304
461	100.3690017
462	100.2653656
463	100.1720255
464	100.0920738
465	99.9918112
466	99.92621288
467	99.75313734
468	99.64052761
469	99.44714053
470	99.37280649
471	99.31510503
472	99.28107665
473	99.23510494
474	99.17075135
475	99.07055566
476	99.00890596
477	98.94415181
478	98.90294501
479	98.73015076
480	98.56315149
481	98.50061866
482	98.33555132
483	98.20642621
484	98.09772384
485	97.99897457
486	97.91510661
487	97.87354326
488	97.79274709
489	97.70735655
490	97.57308425
491	97.41497938
492	97.33459089
493	97.27842884
494	97.18240244
495	97.05530079
496	96.95336335
497	96.87293677
498	96.8113353
499	96.7352672
