iter	Passed	Remaining
0	58	29020
1	59	14697
2	59	9912
3	60	7514
4	61	6075
5	62	5127
6	63	4443
7	63	3927
8	64	3525
9	65	3205
10	66	2946
11	67	2729
12	68	2547
13	68	2386
14	69	2248
15	70	2128
16	71	2020
17	71	1926
18	72	1842
19	73	1766
20	74	1696
21	75	1633
22	76	1577
23	76	1523
24	77	1475
25	78	1428
26	79	1387
27	79	1348
28	80	1311
29	81	1277
30	82	1245
31	83	1216
32	83	1187
33	84	1161
34	85	1136
35	86	1112
36	87	1090
37	88	1070
38	88	1050
39	89	1031
40	90	1013
41	91	996
42	92	981
43	93	966
44	94	951
45	94	936
46	95	922
47	96	908
48	97	896
49	98	882
50	98	870
51	99	858
52	100	846
53	101	835
54	102	825
55	102	814
56	103	804
57	104	794
58	105	785
59	105	776
60	106	767
61	107	758
62	108	750
63	108	742
64	109	734
65	110	727
66	111	719
67	112	711
68	112	704
69	113	698
70	114	691
71	115	685
72	116	678
73	116	672
74	117	666
75	118	659
76	119	654
77	120	649
78	120	643
79	121	637
80	122	632
81	123	627
82	123	622
83	124	617
84	125	612
85	126	607
86	127	602
87	127	598
88	128	593
89	129	589
90	130	584
91	130	580
92	131	575
93	132	571
94	133	567
95	133	563
96	134	559
97	135	555
98	136	551
99	136	547
100	137	543
101	138	540
102	139	536
103	140	533
104	140	529
105	141	526
106	142	522
107	143	519
108	143	515
109	144	512
110	145	509
111	146	506
112	146	503
113	147	500
114	148	497
115	149	494
116	150	491
117	151	488
118	151	486
119	152	483
120	153	480
121	154	477
122	154	474
123	155	472
124	156	469
125	157	467
126	158	464
127	158	461
128	159	459
129	160	456
130	161	453
131	161	451
132	162	449
133	163	446
134	164	443
135	164	441
136	165	439
137	166	436
138	167	434
139	168	432
140	168	429
141	169	427
142	170	425
143	171	423
144	172	421
145	172	419
146	173	416
147	174	414
148	175	412
149	175	410
150	176	408
151	177	406
152	178	404
153	179	402
154	179	400
155	180	398
156	181	396
157	182	394
158	183	392
159	183	390
160	184	388
161	185	387
162	186	385
163	187	383
164	187	381
165	188	379
166	189	377
167	190	375
168	190	373
169	191	372
170	192	370
171	193	368
172	193	366
173	194	364
174	195	363
175	196	361
176	197	359
177	198	358
178	198	356
179	199	354
180	200	353
181	201	351
182	201	349
183	202	348
184	203	346
185	204	344
186	205	343
187	205	341
188	206	339
189	207	338
190	208	336
191	208	335
192	209	333
193	210	331
194	211	330
195	211	328
196	212	327
197	213	325
198	214	324
199	215	322
200	215	321
201	216	319
202	217	318
203	218	316
204	219	315
205	219	313
206	220	312
207	221	310
208	222	309
209	223	308
210	223	306
211	224	305
212	225	303
213	226	302
214	226	300
215	227	299
216	228	297
217	229	296
218	229	295
219	230	293
220	231	292
221	232	290
222	233	289
223	233	288
224	234	286
225	235	285
226	236	284
227	237	282
228	238	281
229	238	280
230	239	278
231	240	277
232	240	276
233	241	274
234	242	273
235	243	272
236	244	270
237	244	269
238	245	268
239	246	267
240	247	266
241	248	264
242	249	263
243	250	262
244	250	261
245	251	259
246	252	258
247	253	257
248	254	256
249	254	254
250	255	253
251	256	252
252	257	251
253	257	249
254	258	248
255	259	247
256	260	246
257	261	244
258	261	243
259	262	242
260	263	241
261	264	239
262	264	238
263	265	237
264	266	236
265	267	235
266	268	233
267	268	232
268	269	231
269	270	230
270	271	229
271	272	228
272	272	226
273	273	225
274	274	224
275	275	223
276	275	222
277	276	220
278	277	219
279	278	218
280	279	217
281	279	216
282	280	215
283	281	214
284	282	212
285	282	211
286	283	210
287	284	209
288	285	208
289	286	207
290	287	206
291	287	205
292	288	203
293	289	202
294	290	201
295	290	200
296	291	199
297	292	198
298	293	197
299	294	196
300	294	194
301	295	193
302	296	192
303	297	191
304	298	190
305	298	189
306	299	188
307	300	187
308	301	186
309	301	185
310	302	183
311	303	182
312	304	181
313	305	180
314	305	179
315	306	178
