date,x,y,y_pred
2015-11-16,"[1.10000000e+01 1.60000000e+01 0.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.22500000e+03 8.50000000e+02 1.30200000e+03 1.59800000e+03
 1.45000000e+03 1.40800000e+03 1.93600000e+03 8.12000000e+02
 1.78366667e+03 3.28010709e+02 0.00000000e+00 1.00000000e+00]",,1522.9154929577464
2015-11-16,"[1.10000000e+01 1.60000000e+01 0.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 4.89100000e+03 3.28000000e+03 5.05400000e+03 5.66900000e+03
 5.11100000e+03 4.70000000e+03 5.92800000e+03 3.11400000e+03
 5.54866667e+03 9.02345202e+02 1.00000000e+00 1.52291549e+03]",,4950.520146520146
2015-11-17,"[1.10000000e+01 1.70000000e+01 1.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.49800000e+03 4.89100000e+03 3.28000000e+03 5.05400000e+03
 5.66900000e+03 5.11100000e+03 4.70000000e+03 3.12966667e+03
 5.48433333e+03 8.66541419e+02 1.00000000e+00 4.95052015e+03]",,4495.71102661597
2015-11-17,"[1.10000000e+01 1.70000000e+01 1.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 6.47666667e+02 1.22500000e+03 8.50000000e+02 1.30200000e+03
 1.59800000e+03 1.45000000e+03 1.40800000e+03 8.36666667e+02
 1.58166667e+03 2.65173964e+02 0.00000000e+00 4.49571103e+03]",,1405.1226158038148
2015-11-18,"[1.10000000e+01 1.80000000e+01 2.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 6.47666667e+02 2.49800000e+03 4.89100000e+03 3.28000000e+03
 5.05400000e+03 5.66900000e+03 5.11100000e+03 3.13800000e+03
 5.63200000e+03 8.83308302e+02 1.00000000e+00 1.40512262e+03]",,4455.06993006993
2015-11-18,"[1.10000000e+01 1.80000000e+01 2.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 6.47666667e+02 6.47666667e+02 1.22500000e+03 8.50000000e+02
 1.30200000e+03 1.59800000e+03 1.45000000e+03 8.06333333e+02
 1.73900000e+03 3.32285008e+02 0.00000000e+00 4.45506993e+03]",,1443.916814159292
2015-11-19,"[1.10000000e+01 1.90000000e+01 3.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.33333333e+02 4.17666667e+02 2.53966667e+03 4.89100000e+03
 3.28000000e+03 5.05400000e+03 5.66900000e+03 3.15466667e+03
 5.78766667e+03 8.97321804e+02 1.00000000e+00 1.44391681e+03]",,4539.6171875
2015-11-19,"[1.10000000e+01 1.90000000e+01 3.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.33333333e+02 4.17666667e+02 6.47666667e+02 1.22500000e+03
 8.50000000e+02 1.30200000e+03 1.59800000e+03 8.64666667e+02
 1.65166667e+03 2.72744913e+02 0.00000000e+00 4.53961719e+03]",,1407.4444444444443
2015-11-20,"[  11.           20.            4.           47.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            4.
  593.33333333    3.33333333  649.33333333  647.66666667 1225.
  850.         1302.          864.66666667 1651.66666667  282.283115
    0.         1407.44444444]",,1202.8458781362008
2015-11-20,"[1.10000000e+01 2.00000000e+01 4.00000000e+00 4.70000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 5.93333333e+02 3.33333333e+00 6.49333333e+02 2.67166667e+03
 4.89100000e+03 3.28000000e+03 5.05400000e+03 2.63166667e+03
 5.76633333e+03 1.13172424e+03 1.00000000e+00 1.20284588e+03]",,4429.939393939394
2015-11-21,"[1.10000000e+01 2.10000000e+01 5.00000000e+00 4.70000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.72266667e+03 1.66666667e+00 4.17666667e+02 6.47666667e+02
 1.89033333e+03 4.89100000e+03 3.28000000e+03 2.66500000e+03
 4.68933333e+03 6.85354410e+02 1.00000000e+00 4.42993939e+03]",,3369.587155963303
2015-11-21,"[1.10000000e+01 2.10000000e+01 5.00000000e+00 4.70000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.50900000e+03 1.09400000e+03 1.09633333e+03 1.45966667e+03
 1.37733333e+03 1.22500000e+03 8.50000000e+02 9.64666667e+02
 1.71166667e+03 2.73802189e+02 0.00000000e+00 3.36958716e+03]",,1103.7397959183672
2015-11-22,"[1.10000000e+01 2.20000000e+01 6.00000000e+00 4.70000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 5.19200000e+03 4.41066667e+03 3.28466667e+03 3.75800000e+03
 4.79333333e+03 5.00500000e+03 4.89100000e+03 2.92333333e+03
 5.27533333e+03 8.47599376e+02 1.00000000e+00 1.10373980e+03]",,4446.706395348837
2015-11-22,"[1.10000000e+01 2.20000000e+01 6.00000000e+00 4.70000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 7.05666667e+02 7.22333333e+02 1.06533333e+03 1.25133333e+03
 1.18300000e+03 1.21466667e+03 1.22500000e+03 6.23000000e+02
 1.61600000e+03 3.36048597e+02 0.00000000e+00 4.44670640e+03]",,1156.3343605546995
2015-11-23,"[1.10000000e+01 2.30000000e+01 0.00000000e+00 4.80000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.68200000e+03 1.08400000e+03 1.36133333e+03 1.73633333e+03
 1.84666667e+03 1.72133333e+03 1.89300000e+03 1.00133333e+03
 2.39366667e+03 4.36097794e+02 1.00000000e+00 1.15633436e+03]",,1816.6681415929204
2015-11-23,"[  11.           23.            0.           48.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            4.
 1682.         1084.         1361.33333333 1736.33333333 1846.66666667
 1721.33333333 1893.         1001.33333333 2393.66666667  436.09779433
    0.         1816.66814159]",,1778.5150214592275
2015-11-24,"[1.10000000e+01 2.40000000e+01 1.00000000e+00 4.80000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.68200000e+03 1.08400000e+03 1.36133333e+03 1.73633333e+03
 1.84666667e+03 1.72133333e+03 1.89300000e+03 1.00133333e+03
 2.39366667e+03 4.36097794e+02 1.00000000e+00 1.77851502e+03]",,1816.6681415929204
2015-11-24,"[1.10000000e+01 2.40000000e+01 1.00000000e+00 4.80000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.68200000e+03 1.08400000e+03 1.36133333e+03 1.73633333e+03
 1.84666667e+03 1.72133333e+03 1.89300000e+03 1.00133333e+03
 2.39366667e+03 4.36097794e+02 0.00000000e+00 1.81666814e+03]",,1778.5150214592275
2015-11-25,"[1.10000000e+01 2.50000000e+01 2.00000000e+00 4.80000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.34466667e+03 1.68200000e+03 1.08400000e+03 1.36133333e+03
 1.73633333e+03 1.84666667e+03 1.72133333e+03 1.00133333e+03
 2.39366667e+03 4.79076933e+02 0.00000000e+00 1.77851502e+03]",,1816.6681415929204
2015-11-25,"[1.10000000e+01 2.50000000e+01 2.00000000e+00 4.80000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.34466667e+03 1.68200000e+03 1.08400000e+03 1.36133333e+03
 1.73633333e+03 1.84666667e+03 1.72133333e+03 1.00133333e+03
 2.39366667e+03 4.79076933e+02 1.00000000e+00 1.81666814e+03]",,1857.9097222222222
2015-11-26,"[1.10000000e+01 2.60000000e+01 3.00000000e+00 4.80000000e+01
 0.00000000e+00 7.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.36233333e+03 2.20300000e+03 2.34466667e+03 1.68200000e+03
 1.08400000e+03 1.36133333e+03 1.73633333e+03 1.00133333e+03
 2.43766667e+03 5.65124603e+02 1.00000000e+00 1.85790972e+03]",,1727.2875
2015-11-26,"[  11.           26.            3.           48.            0.
    7.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            4.
 2362.33333333 2203.         2344.66666667 1682.         1084.
 1361.33333333 1736.33333333 1001.33333333 2437.66666667  565.12460258
    0.         1727.2875    ]",,1703.0522648083625
2015-11-27,"[1.10000000e+01 2.70000000e+01 4.00000000e+00 4.80000000e+01
 0.00000000e+00 8.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.39733333e+03 2.33166667e+03 2.22500000e+03 2.22466667e+03
 1.43033333e+03 1.07366667e+03 1.52733333e+03 1.00133333e+03
 2.43766667e+03 5.40624508e+02 1.00000000e+00 1.70305226e+03]",,1641.8320610687024
2015-11-27,"[  11.           27.            4.           48.            0.
    8.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            4.
 2397.33333333 2331.66666667 2225.         2224.66666667 1430.33333333
 1073.66666667 1527.33333333 1001.33333333 2437.66666667  540.62450773
    0.         1641.83206107]",,1624.8910179640718
2015-11-28,"[1.10000000e+01 2.80000000e+01 5.00000000e+00 4.80000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.90300000e+03 2.32033333e+03 2.36233333e+03 2.20300000e+03
 2.34466667e+03 1.68200000e+03 1.08400000e+03 1.53433333e+03
 2.43766667e+03 3.51434322e+02 1.00000000e+00 1.62489102e+03]",,1415.277358490566
2015-11-28,"[1.10000000e+01 2.80000000e+01 5.00000000e+00 4.80000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.90300000e+03 2.32033333e+03 2.36233333e+03 2.20300000e+03
 2.34466667e+03 1.68200000e+03 1.08400000e+03 1.53433333e+03
 2.43766667e+03 3.51434322e+02 0.00000000e+00 1.41527736e+03]",,1415.277358490566
